Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
9540;20;29167;1598;105;0;1;0;0;3;5
9690;35;51042;1598;105;6;1;0;0;5;6
9780;19;45209;1598;105;12;1;0;0;3;5
9940;32;46667;1598;105;12;1;0;0;5;5
9950;26;37917;1598;105;0;1;0;0;3;6
10150;23;33542;1598;105;3;1;0;0;5;5
10190;31;45209;1598;105;0;1;0;0;5;4
10410;20;29167;1598;105;8;1;0;0;5;6
10420;14;20417;1598;105;0;1;0;0;3;5
10670;19;27709;1598;105;12;1;0;0;5;5
10860;26;37917;1598;105;0;1;0;0;5;4
11370;14;20417;1598;105;12;1;0;0;5;6
16250;33;32000;1600;90;0;1;0;0;3;6
16485;18;30000;1600;100;6;1;0;0;2;5
19708;11;10000;1600;100;12;1;0;0;2;6
7400;61;83000;1781;90;0;1;0;0;3;4
7500;96;61000;1781;75;0;1;0;0;2;2
9460;71;103542;1781;150;0;1;0;0;3;5
9710;68;99167;1781;150;3;1;0;0;3;5
9960;67;97709;1781;150;12;2;0;0;3;5
10340;59;86042;1781;150;0;2;0;0;3;5
10610;56;81667;1781;150;0;2;0;0;3;3
10610;62;90417;1781;150;0;1;0;0;3;5
10880;55;80209;1781;150;0;1;0;0;3;4
11180;47;68542;1781;150;0;1;0;0;3;5
11470;44;64167;1781;150;6;1;0;0;3;5
11590;50;72917;1781;150;6;2;0;0;3;5
11760;43;62709;1781;150;0;1;0;0;3;5
11900;35;51042;1781;150;12;1;0;0;3;3
12200;32;46667;1781;150;0;1;0;0;3;5
12460;23;33542;1781;150;0;1;0;0;3;4
12520;31;45209;1781;150;6;1;0;0;3;5
12530;38;55417;1781;150;0;1;0;0;3;5
12780;20;29167;1781;0;6;1;0;0;3;5
13110;19;27709;1781;150;0;1;0;0;3;5
13330;26;37917;1781;150;0;1;0;0;3;3
13960;14;20417;1781;150;3;1;0;0;3;4
16113;24;23000;1781;150;0;1;1;0;3;5
3500;107;100000;1800;90;3;1;0;0;3;1
7313;67;72000;1800;90;0;1;0;0;3;5
8500;93;73000;1800;90;3;1;0;1;2;4
9792;85;89000;1800;115;12;1;0;1;2;5
9900;71;120000;1800;90;6;1;0;1;2;5
10250;68;85000;1800;90;0;1;0;1;2;4
16998;24;37000;1800;90;12;1;0;1;2;5
18344;9;5000;1800;75;0;1;0;0;2;7
3900;96;120000;1896;64;0;1;1;0;3;1
5949;83;106000;1896;75;0;1;1;0;3;2
7020;71;133125;1896;68;0;1;1;0;3;4
7200;68;127500;1896;68;12;1;1;0;3;6
7390;67;125625;1896;68;0;1;1;0;3;5
7680;59;110625;1896;68;12;1;1;0;3;6
7750;71;144000;1896;75;0;1;1;0;3;5
7870;56;105000;1896;68;0;2;1;0;3;5
7870;62;116250;1896;68;0;1;1;0;3;5
7970;71;133125;1896;90;3;2;1;0;3;5
8070;55;103125;1896;68;0;1;1;0;3;4
8170;68;127500;1896;90;6;1;1;0;3;4
8300;47;88125;1896;68;0;1;1;0;3;5
8380;67;125625;1896;90;12;1;1;0;3;5
8480;71;133125;1896;110;0;1;1;0;3;6
8510;44;82500;1896;68;0;1;1;0;3;5
8600;50;93750;1896;68;0;1;1;0;3;5
8670;368;127500;1896;110;0;1;1;0;3;5
8710;59;110625;1896;90;0;1;1;0;3;5
8730;43;80625;1896;68;3;1;1;0;3;6
8830;35;65625;1896;68;0;1;1;0;3;3
8930;56;105000;1896;90;12;1;1;0;3;4
8930;62;116250;1896;90;0;2;1;0;3;5
8950;47;88125;1896;68;0;1;1;0;5;5
9060;32;60000;1896;68;0;1;1;0;3;6
9160;55;103125;1896;90;0;1;1;0;3;5
9180;44;82500;1896;68;6;1;1;0;5;4
9250;23;43125;1896;68;0;1;1;0;3;3
9260;59;110625;1896;110;0;1;1;0;3;4
9290;31;58125;1896;68;0;1;1;0;3;5
9300;38;71250;1896;68;6;1;1;0;3;4
9400;62;116250;1896;110;3;1;1;0;3;4
9400;37;118000;1896;110;0;1;1;0;5;6
9410;43;80625;1896;68;6;1;1;0;5;5
9410;47;88125;1896;90;6;1;1;0;3;5
9480;20;37500;1896;68;0;1;1;0;3;5
9480;56;105000;1896;110;6;2;1;0;3;4
9500;56;132000;1896;110;0;1;1;0;5;6
9520;35;65625;1896;68;0;1;1;0;5;5
9544;60;90000;1896;110;0;1;1;0;3;3
9650;44;82500;1896;90;6;1;1;0;3;5
9700;67;125625;1896;110;6;1;1;0;3;5
9730;19;35625;1896;68;0;2;1;0;3;4
9750;44;86000;1896;68;12;1;1;0;5;1
9760;32;60000;1896;68;0;1;1;0;5;4
9760;50;93750;1896;90;12;1;1;0;3;4
9800;79;160000;1896;90;0;2;1;0;2;5
